Date,Open,High,Low,Close,Adj Close,Volume,Buy,Sell
2021-03-31,232.910004,239.100006,232.389999,235.770004,233.865067,43623500,True,False
2021-04-01,238.470001,242.839996,238.050003,242.350006,240.391922,30338000,False,True
2021-04-05,242.759995,249.960007,242.699997,249.070007,247.057617,36910600,False,False
2021-04-06,247.610001,249.399994,246.880005,247.860001,245.857391,22931900,False,False
2021-04-07,247.809998,250.929993,247.190002,249.899994,247.88089,22719800,False,False
2021-04-08,252.770004,254.139999,252.0,253.25,251.203842,23625200,False,True
2021-04-09,252.869995,255.990005,252.440002,255.850006,253.782837,24326800,True,False
2021-04-12,254.710007,257.670013,254.619995,255.910004,253.842331,27148700,True,False
2021-04-13,257.26001,259.190002,256.829987,258.48999,256.401459,23837500,True,False
2021-04-14,257.480011,258.829987,255.160004,255.589996,253.524918,23070900,True,False
2021-04-15,257.929993,259.929993,257.730011,259.5,257.403351,25627500,True,False
2021-04-16,259.470001,261.0,257.600006,260.73999,258.633301,24878600,False,True
2021-04-19,260.190002,261.480011,257.820007,258.73999,256.649475,23209300,True,False
2021-04-20,257.820007,260.200012,256.839996,258.26001,256.17337,19722900,False,False
2021-04-21,258.940002,260.679993,257.25,260.579987,258.474609,24030400,False,True
2021-04-22,260.209991,261.779999,255.639999,257.170013,255.092148,25606200,False,True
2021-04-23,257.880005,261.51001,257.269989,261.149994,259.040009,21462600,False,True
2021-04-26,261.660004,262.440002,260.170013,261.549988,259.436768,19763300,False,False
2021-04-27,261.579987,263.190002,260.119995,261.970001,259.853394,31014200,True,False
2021-04-28,256.079987,256.540009,252.949997,254.559998,252.50325,46903100,False,True
2021-04-29,255.460007,256.100006,249.0,252.509995,250.469818,40589000,True,False
2021-04-30,249.740005,253.080002,249.600006,252.179993,250.142487,30945100,True,False
2021-05-03,253.399994,254.350006,251.119995,251.860001,249.825058,19626600,False,False
2021-05-04,250.970001,251.210007,245.759995,247.789993,245.787933,32756100,False,False
2021-05-05,249.059998,249.5,245.820007,246.470001,244.478622,21901300,True,False
2021-05-06,246.449997,249.860001,244.690002,249.729996,247.71228,26491100,True,False
2021-05-07,252.149994,254.300003,251.169998,252.460007,250.420242,27032900,False,False
2021-05-10,250.869995,251.729996,247.119995,247.179993,245.182877,29299900,False,True
2021-05-11,244.550003,246.600006,242.570007,246.229996,244.24054,33641600,False,True
2021-05-12,242.169998,244.380005,238.070007,239.0,237.068985,36684400,True,False
2021-05-13,241.800003,245.600006,241.419998,243.029999,241.066422,29624300,False,True
2021-05-14,245.580002,249.179993,245.490005,248.149994,246.145035,23901100,False,True
2021-05-17,246.550003,246.589996,243.520004,245.179993,243.19902,24970200,False,True
2021-05-18,246.270004,246.410004,242.899994,243.080002,241.116013,20168000,False,True
2021-05-19,239.309998,243.229996,238.600006,243.119995,241.71254,25739800,False,True
2021-05-20,243.960007,247.949997,243.860001,246.479996,245.05307,21800700,False,False
2021-05-21,247.570007,248.330002,244.740005,245.169998,243.750687,21863100,True,False
2021-05-24,247.789993,251.160004,247.509995,250.779999,249.328186,21411500,True,False
2021-05-25,251.770004,252.75,250.820007,251.720001,250.262756,17704300,False,True
2021-05-26,251.429993,252.940002,250.75,251.490005,250.034088,17771600,False,True
2021-05-27,251.169998,251.479996,249.25,249.309998,247.866699,24426200,True,False
2021-05-28,251.0,252.080002,249.559998,249.679993,248.234558,18270200,True,False
2021-06-01,251.229996,251.289993,246.960007,247.399994,245.967758,23213300,False,False
2021-06-02,248.130005,249.270004,245.839996,247.300003,245.868347,19406700,False,False
2021-06-03,245.220001,246.339996,243.0,245.710007,244.287552,25307700,False,True
2021-06-04,247.759995,251.649994,247.509995,250.789993,249.338135,25281100,False,False
2021-06-07,249.979996,254.089996,249.809998,253.809998,252.340652,23079200,False,True
2021-06-08,255.160004,256.01001,252.509995,252.570007,251.107849,22455000,False,True
2021-06-09,253.809998,255.529999,253.210007,253.589996,252.121918,17937600,True,False
2021-06-10,254.289993,257.459991,253.669998,257.23999,255.750793,24563600,False,True
2021-06-11,257.98999,258.48999,256.609985,257.890015,256.397034,18999700,False,True
2021-06-14,257.899994,259.950012,256.799988,259.890015,258.385468,19150500,True,False
2021-06-15,259.769989,259.98999,257.679993,258.359985,256.864288,18038900,False,True
2021-06-16,259.399994,260.579987,254.419998,257.380005,255.889969,27220000,True,False
2021-06-17,256.070007,261.75,256.01001,260.899994,259.389587,27565500,False,True
2021-06-18,259.630005,262.299988,258.75,259.429993,257.928101,37202200,False,True
2021-06-21,259.820007,263.519989,257.920013,262.630005,261.109589,26696100,True,False
2021-06-22,262.720001,265.790009,262.399994,265.51001,263.9729,24694100,False,True
2021-06-23,265.98999,266.829987,264.429993,265.269989,263.734283,19518700,False,True
2021-06-24,266.160004,267.850006,265.470001,266.690002,265.146118,21446900,False,True
2021-06-25,266.230011,267.25,264.76001,265.019989,263.485748,25611100,False,False
2021-06-28,266.190002,268.899994,265.910004,268.720001,267.164337,19590000,False,False
2021-06-29,268.869995,271.649994,267.980011,271.399994,269.828796,19937800,False,True
2021-06-30,270.690002,271.359985,269.600006,270.899994,269.331726,21656500,False,False
2021-07-01,269.609985,271.839996,269.600006,271.600006,270.027679,16725300,False,False
2021-07-02,272.820007,278.0,272.5,277.649994,276.042633,26458000,True,False
2021-07-06,278.029999,279.369995,274.299988,277.660004,276.052582,31565600,False,True
2021-07-07,279.399994,280.690002,277.149994,279.929993,278.309418,23260000,True,False
2021-07-08,276.899994,278.730011,274.869995,277.420013,275.813965,24618600,False,True
2021-07-09,275.720001,278.049988,275.320007,277.940002,276.330963,23916700,False,True
2021-07-12,279.160004,279.769989,276.579987,277.320007,275.714539,18931700,False,False
